asset,model,checkpoint_steps,total_return_pct,sharpe,max_drawdown_pct,calmar,win_rate_pct,n_trades,final_capital,n_steps
AAPL,trader_ppo_100000_steps,100000,-2.97,-0.604,-5.45,-0.546,0.0,2,9702.52,537
ADA_USD,trader_ppo_100000_steps,100000,-5.43,-0.627,-5.43,-1.0,0.0,1,9457.2,793
AMZN,trader_ppo_100000_steps,100000,15.38,0.615,-10.07,1.526,60.0,5,11537.8,537
AUDUSDX,trader_ppo_100000_steps,100000,-1.41,-0.44,-2.43,-0.58,100.0,1,9858.95,556
BNB_USD,trader_ppo_100000_steps,100000,-6.44,-0.786,-6.44,-1.0,0.0,1,9355.65,793
BTC_USD,trader_ppo_100000_steps,100000,-4.28,-0.483,-5.0,-0.857,100.0,1,9571.59,793
CLF,trader_ppo_100000_steps,100000,-4.9,-0.984,-4.9,-1.0,0.0,1,9510.29,539
DJI,trader_ppo_100000_steps,100000,-0.68,0.019,-15.74,-0.043,0.0,1,9931.7,537
ETH_USD,trader_ppo_100000_steps,100000,-8.87,-0.773,-8.87,-1.0,0.0,1,9112.83,793
EURUSDX,trader_ppo_100000_steps,100000,-2.24,-0.549,-3.14,-0.714,0.0,1,9775.65,556
FCHI,trader_ppo_100000_steps,100000,-3.64,-0.362,-10.12,-0.36,50.0,4,9635.77,548
FTSE,trader_ppo_100000_steps,100000,-2.28,-0.961,-2.29,-0.994,0.0,2,9771.93,544
GBPUSDX,trader_ppo_100000_steps,100000,-2.3,-0.526,-3.4,-0.676,0.0,1,9770.48,556
GCF,trader_ppo_100000_steps,100000,-2.08,-1.201,-2.2,-0.945,0.0,2,9792.11,539
GDAXI,trader_ppo_100000_steps,100000,-1.85,-0.974,-2.13,-0.87,100.0,3,9814.89,544
GSPC,trader_ppo_100000_steps,100000,16.14,0.77,-10.13,1.593,100.0,1,11613.87,537
HGF,trader_ppo_100000_steps,100000,-3.54,-1.193,-3.54,-1.0,0.0,1,9646.29,539
HSI,trader_ppo_100000_steps,100000,11.55,0.607,-10.85,1.064,50.0,2,11154.57,526
MSFT,trader_ppo_100000_steps,100000,2.37,0.163,-12.33,0.192,0.0,3,10237.39,537
N225,trader_ppo_100000_steps,100000,3.97,0.266,-10.88,0.365,0.0,1,10396.63,520
NDX,trader_ppo_100000_steps,100000,4.21,0.263,-13.53,0.311,0.0,1,10421.4,537
NGF,trader_ppo_100000_steps,100000,-2.2,-0.379,-3.6,-0.609,0.0,1,9780.42,539
NVDA,trader_ppo_100000_steps,100000,40.02,0.963,-17.46,2.292,100.0,4,14002.04,537
RUT,trader_ppo_100000_steps,100000,6.83,0.353,-10.1,0.676,100.0,1,10682.55,537
SIF,trader_ppo_100000_steps,100000,-3.3,-0.894,-3.53,-0.934,0.0,1,9670.02,539
SOL_USD,trader_ppo_100000_steps,100000,-7.42,-0.521,-8.05,-0.922,100.0,1,9257.85,793
TSLA,trader_ppo_100000_steps,100000,-1.37,-0.203,-4.13,-0.331,100.0,1,9863.32,537
USDCHFX,trader_ppo_100000_steps,100000,-2.17,-0.246,-7.96,-0.272,0.0,1,9783.22,556
USDJPYX,trader_ppo_100000_steps,100000,-1.56,-0.126,-10.45,-0.149,100.0,1,9844.2,556
XRP_USD,trader_ppo_100000_steps,100000,-5.39,-0.773,-5.39,-1.0,0.0,1,9461.49,793
AAPL,trader_ppo_150000_steps,150000,-2.05,-0.401,-4.55,-0.451,0.0,1,9794.96,537
ADA_USD,trader_ppo_150000_steps,150000,-5.43,-0.627,-5.43,-1.0,0.0,1,9457.2,793
AMZN,trader_ppo_150000_steps,150000,17.36,0.678,-10.07,1.723,100.0,1,11735.53,537
AUDUSDX,trader_ppo_150000_steps,150000,-1.41,-0.44,-2.43,-0.58,100.0,1,9858.95,556
BNB_USD,trader_ppo_150000_steps,150000,-6.44,-0.786,-6.44,-1.0,0.0,1,9355.65,793
BTC_USD,trader_ppo_150000_steps,150000,-4.28,-0.483,-5.0,-0.857,100.0,1,9571.59,793
CLF,trader_ppo_150000_steps,150000,-4.9,-0.984,-4.9,-1.0,0.0,1,9510.29,539
DJI,trader_ppo_150000_steps,150000,-0.68,0.019,-15.74,-0.043,0.0,1,9931.7,537
ETH_USD,trader_ppo_150000_steps,150000,-8.87,-0.773,-8.87,-1.0,0.0,1,9112.83,793
EURUSDX,trader_ppo_150000_steps,150000,-2.24,-0.549,-3.14,-0.714,0.0,1,9775.65,556
FCHI,trader_ppo_150000_steps,150000,-2.05,-0.184,-8.94,-0.229,50.0,2,9795.21,548
FTSE,trader_ppo_150000_steps,150000,-2.46,-1.621,-2.46,-1.0,0.0,2,9754.45,544
GBPUSDX,trader_ppo_150000_steps,150000,-2.3,-0.526,-3.4,-0.676,0.0,1,9770.48,556
GCF,trader_ppo_150000_steps,150000,-3.55,-1.376,-3.67,-0.967,0.0,2,9644.99,539
GDAXI,trader_ppo_150000_steps,150000,16.37,0.675,-15.58,1.05,0.0,1,11636.63,544
GSPC,trader_ppo_150000_steps,150000,16.14,0.77,-10.13,1.593,100.0,1,11613.87,537
HGF,trader_ppo_150000_steps,150000,-3.54,-1.193,-3.54,-1.0,0.0,1,9646.29,539
HSI,trader_ppo_150000_steps,150000,11.37,0.598,-10.85,1.048,0.0,1,11136.54,526
MSFT,trader_ppo_150000_steps,150000,7.14,0.384,-10.51,0.679,100.0,1,10714.12,537
N225,trader_ppo_150000_steps,150000,3.97,0.266,-10.88,0.365,0.0,1,10396.63,520
NDX,trader_ppo_150000_steps,150000,4.21,0.263,-13.53,0.311,0.0,1,10421.4,537
NGF,trader_ppo_150000_steps,150000,-7.96,-0.978,-7.96,-1.0,0.0,1,9204.32,539
NVDA,trader_ppo_150000_steps,150000,41.19,1.047,-10.16,4.056,100.0,1,14118.87,537
RUT,trader_ppo_150000_steps,150000,6.83,0.353,-10.1,0.676,100.0,1,10682.55,537
SIF,trader_ppo_150000_steps,150000,-3.3,-0.894,-3.53,-0.934,0.0,1,9670.02,539
SOL_USD,trader_ppo_150000_steps,150000,-7.42,-0.521,-8.05,-0.922,100.0,1,9257.85,793
TSLA,trader_ppo_150000_steps,150000,-1.37,-0.203,-4.13,-0.331,100.0,1,9863.32,537
USDCHFX,trader_ppo_150000_steps,150000,-2.17,-0.246,-7.96,-0.272,0.0,1,9783.22,556
USDJPYX,trader_ppo_150000_steps,150000,-1.56,-0.126,-10.45,-0.149,100.0,1,9844.2,556
XRP_USD,trader_ppo_150000_steps,150000,-5.39,-0.773,-5.39,-1.0,0.0,1,9461.49,793
AAPL,trader_ppo_200000_steps,200000,-3.76,-0.609,-6.21,-0.605,0.0,2,9624.1,537
